seq_id,flight,frame_idx,x,y,w,h,conf
12,flight_01_084727,81,45,380,125,109,0.8864
12,flight_01_084727,82,42,381,123,111,0.8966
12,flight_01_084727,83,38,384,121,113,0.8885
12,flight_01_084727,84,45,388,118,116,0.8911
12,flight_01_084727,85,38,397,116,116,0.8975
12,flight_01_084727,86,44,409,114,117,0.8957
12,flight_01_084727,87,37,418,113,115,0.8973
12,flight_01_084727,88,42,432,111,116,0.8954
12,flight_01_084727,89,34,444,109,116,0.8888
12,flight_01_084727,90,38,455,107,119,0.8886
12,flight_01_084727,91,29,467,107,119,0.8955
12,flight_01_084727,92,33,479,105,122,0.8818
12,flight_01_084727,93,22,491,105,122,0.8869
12,flight_01_084727,94,24,502,103,125,0.8802
12,flight_01_084727,95,23,519,103,125,0.8942
12,flight_01_084727,96,23,530,101,128,0.8781
12,flight_01_084727,97,21,545,101,130,0.8856
12,flight_01_084727,98,14,564,102,130,0.8846
12,flight_01_084727,99,12,575,100,133,0.874
12,flight_01_084727,100,9,591,101,134,0.8846
12,flight_01_084727,101,8,582,102,136,0.8762
12,flight_01_084727,102,4,605,103,136,0.8766
12,flight_01_084727,103,2,627,104,139,0.8768
12,flight_01_084727,104,0,649,104,140,0.8721
12,flight_01_084727,105,-1,664,101,142,0.8559
12,flight_01_084727,106,-2,686,98,142,0.8473
12,flight_01_084727,107,-1,697,96,141,0.8587
12,flight_01_084727,108,-2,712,94,142,0.8453
12,flight_01_084727,109,-3,718,88,145,0.7965
12,flight_01_084727,110,-4,728,84,146,0.8172
12,flight_01_084727,111,0,723,83,143,0.8215
12,flight_01_084727,112,2,718,81,143,0.8065
12,flight_01_084727,113,8,720,82,141,0.7814
12,flight_01_084727,114,13,724,86,137,0.763
12,flight_01_084727,115,-1,682,85,136,0.7374
12,flight_01_084727,116,7,659,86,134,0.7763
12,flight_01_084727,117,7,639,87,133,0.7538
12,flight_01_084727,118,11,620,90,130,0.716
12,flight_01_084727,119,88,524,91,127,0.6945
12,flight_01_084727,120,84,518,90,127,0.8564
12,flight_01_084727,121,117,516,93,127,0.8333
12,flight_01_084727,122,93,540,93,127,0.8229
12,flight_01_084727,123,99,539,93,129,0.8382
12,flight_01_084727,124,110,545,97,126,0.7951
12,flight_01_084727,125,116,564,101,124,0.7966
12,flight_01_084727,126,118,571,106,121,0.7938
12,flight_01_084727,127,111,548,108,122,0.7884
12,flight_01_084727,128,93,538,107,123,0.8571
12,flight_01_084727,129,91,542,108,122,0.8477
12,flight_01_084727,130,73,576,108,122,0.8457
12,flight_01_084727,131,79,568,106,122,0.8552
12,flight_01_084727,132,50,605,109,119,0.7978
12,flight_01_084727,133,50,616,111,118,0.8248
12,flight_01_084727,134,4,586,110,116,0.8313
12,flight_01_084727,135,3,596,112,112,0.8506
12,flight_01_084727,136,3,611,113,112,0.8607
12,flight_01_084727,137,1,626,113,113,0.8683
12,flight_01_084727,138,1,637,113,114,0.8676
12,flight_01_084727,139,2,643,112,117,0.8566
12,flight_01_084727,140,4,650,111,119,0.8573
12,flight_01_084727,141,0,665,109,123,0.8473
12,flight_01_084727,142,2,637,109,123,0.8546
12,flight_01_084727,143,0,638,108,122,0.8582
12,flight_01_084727,144,0,639,108,121,0.8404
12,flight_01_084727,145,0,639,108,119,0.8457
12,flight_01_084727,146,0,671,107,118,0.8415
12,flight_01_084727,147,0,675,106,116,0.8473
12,flight_01_084727,148,5,681,108,113,0.8309
12,flight_01_084727,149,8,707,109,110,0.8001
12,flight_01_084727,150,16,705,111,106,0.8141
12,flight_01_084727,151,4,711,111,103,0.8135
12,flight_01_084727,152,7,731,111,102,0.825
12,flight_01_084727,153,-3,740,108,102,0.8287
12,flight_01_084727,154,3,751,111,99,0.836
12,flight_01_084727,155,1,756,111,98,0.8434
12,flight_01_084727,156,4,765,114,96,0.8405
12,flight_01_084727,157,11,771,119,95,0.8405
12,flight_01_084727,158,20,750,120,97,0.8513
12,flight_01_084727,159,4,790,121,98,0.8361
12,flight_01_084727,160,5,794,123,99,0.8544
12,flight_01_084727,161,0,799,122,102,0.8364
12,flight_01_084727,162,1,807,121,103,0.8415
12,flight_01_084727,163,0,787,117,109,0.7941
12,flight_01_084727,164,-1,770,115,109,0.8295
12,flight_01_084727,165,-2,779,112,110,0.8194
12,flight_01_084727,166,-2,783,108,111,0.805
12,flight_01_084727,167,-3,787,103,113,0.7654
12,flight_01_084727,168,-5,791,98,116,0.7649
12,flight_01_084727,169,-7,795,92,121,0.7304
12,flight_01_084727,170,-7,827,86,125,0.7068
12,flight_01_084727,171,-8,833,80,128,0.741
12,flight_01_084727,172,-2,831,75,130,0.7552
12,flight_01_084727,173,5,837,76,127,0.7659
12,flight_01_084727,174,9,845,77,124,0.7789
12,flight_01_084727,175,7,854,79,122,0.765
12,flight_01_084727,176,10,889,81,118,0.7363
12,flight_01_084727,177,-4,912,77,119,0.7192
12,flight_01_084727,178,3,919,77,116,0.7359
12,flight_01_084727,179,10,926,80,112,0.7221
12,flight_01_084727,180,-1,926,78,111,0.7377
12,flight_01_084727,181,14,931,83,106,0.7138
12,flight_01_084727,182,4,937,83,104,0.7608
12,flight_01_084727,183,9,942,86,102,0.7842
12,flight_01_084727,184,2,969,87,102,0.7919
12,flight_01_084727,185,6,951,90,101,0.7887
12,flight_01_084727,186,7,924,93,102,0.8257
12,flight_01_084727,187,4,927,93,104,0.8249
12,flight_01_084727,188,2,934,93,106,0.8178
12,flight_01_084727,189,1,947,92,110,0.8105
12,flight_01_084727,190,0,957,90,113,0.8103
12,flight_01_084727,191,1,958,89,115,0.8133
12,flight_01_084727,192,2,967,89,113,0.8009
12,flight_01_084727,193,0,962,86,114,0.7966
12,flight_01_084727,194,0,973,85,112,0.789
12,flight_01_084727,195,0,969,83,111,0.7963
12,flight_01_084727,196,0,967,81,111,0.7352
12,flight_01_084727,197,-1,967,78,111,0.7365
12,flight_01_084727,198,6,905,78,109,0.7155
12,flight_01_084727,199,67,884,79,109,0.7584
12,flight_01_084727,200,75,883,79,111,0.8227
12,flight_01_084727,201,72,887,78,113,0.8102
12,flight_01_084727,202,67,893,78,115,0.8189
12,flight_01_084727,203,61,898,79,117,0.8246
12,flight_01_084727,204,59,904,80,119,0.8327
12,flight_01_084727,205,51,905,82,120,0.8259
12,flight_01_084727,206,45,908,83,122,0.8309
12,flight_01_084727,207,42,912,85,123,0.8263
12,flight_01_084727,208,23,919,86,123,0.819
12,flight_01_084727,209,22,923,87,124,0.8195
12,flight_01_084727,210,21,927,89,124,0.8045
12,flight_01_084727,211,14,930,91,124,0.786
12,flight_01_084727,212,7,933,93,124,0.7942
12,flight_01_084727,213,3,938,92,126,0.7739
12,flight_01_084727,214,2,943,92,128,0.768
12,flight_01_084727,215,2,943,91,130,0.7419
12,flight_01_084727,216,2,930,90,130,0.7331
12,flight_01_084727,217,8,909,92,129,0.7525
12,flight_01_084727,218,7,918,94,128,0.7446
12,flight_01_084727,219,5,926,94,129,0.7388
12,flight_01_084727,220,5,931,96,129,0.7801
12,flight_01_084727,221,5,937,97,130,0.7626
12,flight_01_084727,222,5,943,97,131,0.7633
12,flight_01_084727,223,4,941,96,132,0.7091
12,flight_01_084727,224,2,944,95,133,0.6917
12,flight_01_084727,225,6,943,95,133,0.6939
12,flight_01_084727,226,5,944,96,133,0.6815
12,flight_01_084727,227,9,948,97,131,0.6413
12,flight_01_084727,228,75,915,100,129,0.643
12,flight_01_084727,229,48,948,103,126,0.6453
12,flight_01_084727,230,4,961,102,124,0.6632
12,flight_01_084727,231,7,956,104,122,0.6958
12,flight_01_084727,232,5,952,105,123,0.7431
12,flight_01_084727,233,4,957,106,122,0.7029
12,flight_01_084727,234,15,966,110,118,0.6545
12,flight_01_084727,235,1,961,108,118,0.684
12,flight_01_084727,236,2,932,107,118,0.7071
12,flight_01_084727,237,2,932,107,118,0.7014
12,flight_01_084727,238,0,929,106,120,0.7048
12,flight_01_084727,239,70,903,107,119,0.7245
12,flight_01_084727,240,40,935,108,117,0.6951
12,flight_01_084727,241,38,935,110,115,0.7163
12,flight_01_084727,242,6,947,111,114,0.6856
12,flight_01_084727,243,6,970,113,112,0.7236
12,flight_01_084727,244,4,961,113,113,0.6888
12,flight_01_084727,245,0,964,113,112,0.665
12,flight_01_084727,246,17,963,117,112,0.6743
12,flight_01_084727,247,51,955,114,114,0.6703
12,flight_01_084727,248,55,956,115,114,0.6685
12,flight_01_084727,249,59,960,118,113,0.6836
12,flight_01_084727,250,19,961,122,112,0.7282
12,flight_01_084727,251,16,963,125,112,0.7369
12,flight_01_084727,252,7,968,127,111,0.7264
12,flight_01_084727,253,28,972,131,108,0.6941
12,flight_01_084727,254,2,966,131,109,0.7257
12,flight_01_084727,255,3,970,132,109,0.7225
12,flight_01_084727,256,72,936,131,110,0.6922
12,flight_01_084727,257,142,934,133,111,0.671
12,flight_01_084727,258,187,942,134,110,0.7588
12,flight_01_084727,259,188,922,137,109,0.7647
12,flight_01_084727,260,187,933,136,109,0.7871
12,flight_01_084727,261,155,943,139,107,0.7458
12,flight_01_084727,262,150,954,139,106,0.781
12,flight_01_084727,263,139,964,141,104,0.7595
12,flight_01_084727,264,125,971,143,103,0.7657
12,flight_01_084727,265,120,976,144,102,0.7789
12,flight_01_084727,266,112,980,146,100,0.7639
12,flight_01_084727,267,88,956,146,99,0.7414
12,flight_01_084727,268,67,966,146,98,0.755
12,flight_01_084727,269,36,974,150,96,0.7674
12,flight_01_084727,270,1,977,149,97,0.7964
12,flight_01_084727,271,11,983,153,95,0.7815
12,flight_01_084727,272,-4,979,150,96,0.7822
12,flight_01_084727,273,6,988,154,93,0.776
12,flight_01_084727,274,5,990,156,90,0.7701
12,flight_01_084727,275,-1,990,155,89,0.7853
12,flight_01_084727,276,-2,987,152,89,0.7669
12,flight_01_084727,277,12,988,153,88,0.755
12,flight_01_084727,278,0,986,152,89,0.7472
12,flight_01_084727,279,-6,981,148,91,0.7307
12,flight_01_084727,280,8,985,150,91,0.7171
12,flight_01_084727,281,0,983,148,92,0.7108
12,flight_01_084727,282,-3,979,144,93,0.6893
12,flight_01_084727,283,-6,973,141,96,0.6737
12,flight_01_084727,284,14,940,139,98,0.6624
12,flight_01_084727,285,7,937,137,101,0.6805
12,flight_01_084727,286,30,933,137,103,0.6797
12,flight_01_084727,287,26,931,136,104,0.6859
12,flight_01_084727,288,16,964,138,104,0.6745
12,flight_01_084727,289,10,967,140,102,0.6946
12,flight_01_084727,290,5,970,140,102,0.6936
12,flight_01_084727,291,0,970,138,103,0.6683
12,flight_01_084727,292,-1,970,137,104,0.676
12,flight_01_084727,293,-2,964,135,105,0.6562
12,flight_01_084727,294,-4,960,133,107,0.6652
12,flight_01_084727,295,-6,951,130,111,0.6552
12,flight_01_084727,296,0,970,129,110,0.6856
12,flight_01_084727,297,0,960,128,111,0.6602
12,flight_01_084727,298,14,929,129,113,0.6465
12,flight_01_084727,299,8,930,129,114,0.6372
12,flight_01_084727,300,76,899,131,113,0.6522
12,flight_01_084727,301,53,898,131,111,0.6835
12,flight_01_084727,302,55,896,133,109,0.6722
12,flight_01_084727,303,11,803,134,109,0.67
12,flight_01_084727,304,1,762,133,110,0.756
12,flight_01_084727,305,-3,754,132,109,0.7889
12,flight_01_084727,306,-3,735,131,108,0.7855
12,flight_01_084727,307,0,738,130,107,0.7918
