seq_id,flight,frame_idx,x,y,w,h,conf
6,flight_01_084727,3511,1348,504,106,36,0.6446
6,flight_01_084727,3512,1337,504,106,37,0.6383
6,flight_01_084727,3513,1340,505,106,38,0.6839
6,flight_01_084727,3514,1340,506,105,39,0.6462
6,flight_01_084727,3515,1327,505,105,39,0.6572
6,flight_01_084727,3516,1330,506,105,40,0.6913
6,flight_01_084727,3517,1317,506,106,41,0.6646
6,flight_01_084727,3518,1322,506,106,41,0.7054
6,flight_01_084727,3519,1323,506,105,42,0.6747
6,flight_01_084727,3520,1310,505,106,42,0.6842
6,flight_01_084727,3521,1315,507,106,42,0.6864
6,flight_01_084727,3522,1301,505,107,43,0.6832
6,flight_01_084727,3523,1302,503,106,43,0.6792
6,flight_01_084727,3524,1302,501,105,44,0.6784
6,flight_01_084727,3525,1300,500,105,44,0.6988
6,flight_01_084727,3526,1296,499,104,44,0.698
6,flight_01_084727,3527,1292,497,104,45,0.6968
6,flight_01_084727,3528,1287,496,103,45,0.6947
6,flight_01_084727,3529,1283,496,103,45,0.7007
6,flight_01_084727,3530,1279,492,103,46,0.6899
6,flight_01_084727,3531,1275,493,102,46,0.709
6,flight_01_084727,3532,1271,490,102,46,0.6986
6,flight_01_084727,3533,1267,491,102,46,0.7066
6,flight_01_084727,3534,1262,490,102,46,0.7124
6,flight_01_084727,3535,1259,490,102,46,0.7066
6,flight_01_084727,3536,1254,489,102,47,0.7024
6,flight_01_084727,3537,1250,489,101,47,0.6952
6,flight_01_084727,3538,1245,491,101,47,0.6996
6,flight_01_084727,3539,1241,490,100,47,0.6996
6,flight_01_084727,3540,1238,492,100,48,0.7037
6,flight_01_084727,3541,1233,492,99,48,0.7015
6,flight_01_084727,3542,1233,492,99,48,0.7052
6,flight_01_084727,3543,1226,494,98,48,0.7063
6,flight_01_084727,3544,1223,494,98,49,0.7003
6,flight_01_084727,3545,1222,495,97,48,0.7089
6,flight_01_084727,3546,1218,495,96,49,0.6973
6,flight_01_084727,3547,1208,499,96,49,0.7139
6,flight_01_084727,3548,1206,499,95,49,0.6934
6,flight_01_084727,3549,1203,500,95,50,0.6954
6,flight_01_084727,3550,1199,500,94,50,0.69
6,flight_01_084727,3551,1197,503,93,51,0.7055
6,flight_01_084727,3552,1191,502,93,51,0.6967
6,flight_01_084727,3553,1191,502,92,51,0.716
6,flight_01_084727,3554,1189,504,92,51,0.7081
6,flight_01_084727,3555,1185,504,91,52,0.6994
6,flight_01_084727,3556,1181,507,91,52,0.7063
6,flight_01_084727,3557,1172,507,91,53,0.7108
6,flight_01_084727,3558,1168,508,90,53,0.7045
6,flight_01_084727,3559,1166,507,90,53,0.7173
6,flight_01_084727,3560,1160,509,90,53,0.713
6,flight_01_084727,3561,1156,508,89,54,0.7031
6,flight_01_084727,3562,1153,509,89,54,0.7071
6,flight_01_084727,3563,1150,506,88,55,0.7116
6,flight_01_084727,3564,1145,508,88,55,0.719
6,flight_01_084727,3565,1140,507,88,55,0.7027
6,flight_01_084727,3566,1137,508,88,55,0.7251
6,flight_01_084727,3567,1134,505,87,56,0.7172
6,flight_01_084727,3568,1134,508,87,56,0.7217
6,flight_01_084727,3569,1127,506,88,56,0.721
6,flight_01_084727,3570,1124,505,88,57,0.7187
6,flight_01_084727,3571,1119,502,88,57,0.7166
6,flight_01_084727,3572,1114,500,87,57,0.7135
6,flight_01_084727,3573,1115,503,87,58,0.7202
6,flight_01_084727,3574,1110,499,87,58,0.7184
6,flight_01_084727,3575,1106,498,87,58,0.7263
6,flight_01_084727,3576,1102,496,87,58,0.721
6,flight_01_084727,3577,1097,494,87,59,0.7221
6,flight_01_084727,3578,1093,491,87,59,0.7199
6,flight_01_084727,3579,1089,488,87,59,0.7179
6,flight_01_084727,3580,1085,487,87,59,0.7187
6,flight_01_084727,3581,1082,484,87,59,0.7196
6,flight_01_084727,3582,1074,479,87,59,0.7213
6,flight_01_084727,3583,1070,476,86,60,0.7133
6,flight_01_084727,3584,1067,477,86,60,0.7251
6,flight_01_084727,3585,1062,473,86,60,0.7217
6,flight_01_084727,3586,1060,471,85,61,0.7146
6,flight_01_084727,3587,1060,468,85,61,0.7248
6,flight_01_084727,3588,1053,463,85,61,0.7253
6,flight_01_084727,3589,1049,460,85,61,0.7271
6,flight_01_084727,3590,1046,461,85,61,0.728
6,flight_01_084727,3591,1046,458,84,61,0.7287
6,flight_01_084727,3592,1039,453,84,61,0.7312
6,flight_01_084727,3593,1034,450,84,61,0.726
6,flight_01_084727,3594,1032,450,84,61,0.7263
6,flight_01_084727,3595,1028,448,84,62,0.7271
6,flight_01_084727,3596,1028,444,83,62,0.7328
6,flight_01_084727,3597,1019,439,83,62,0.7301
6,flight_01_084727,3598,1020,437,83,62,0.7352
6,flight_01_084727,3599,1021,436,83,62,0.7277
6,flight_01_084727,3600,1011,431,82,62,0.7264
6,flight_01_084727,3601,1007,429,82,62,0.7338
6,flight_01_084727,3602,1003,427,82,62,0.7384
6,flight_01_084727,3603,1004,424,82,62,0.735
6,flight_01_084727,3604,1003,421,82,63,0.7343
6,flight_01_084727,3605,994,416,81,63,0.7194
6,flight_01_084727,3606,994,413,81,63,0.7444
6,flight_01_084727,3607,986,408,81,63,0.7281
6,flight_01_084727,3608,986,405,80,64,0.7336
6,flight_01_084727,3609,977,399,80,64,0.7337
6,flight_01_084727,3610,978,396,80,64,0.738
6,flight_01_084727,3611,970,391,80,64,0.7381
6,flight_01_084727,3612,969,388,79,64,0.7408
6,flight_01_084727,3613,961,383,79,64,0.7426
6,flight_01_084727,3614,962,380,79,64,0.7443
6,flight_01_084727,3615,953,375,79,64,0.7469
6,flight_01_084727,3616,953,372,78,64,0.741
6,flight_01_084727,3617,954,371,78,64,0.7512
6,flight_01_084727,3618,943,365,78,65,0.7329
6,flight_01_084727,3619,945,362,77,65,0.7524
6,flight_01_084727,3620,934,357,77,65,0.735
6,flight_01_084727,3621,933,345,77,66,0.743
6,flight_01_084727,3622,925,342,76,65,0.7569
6,flight_01_084727,3623,928,343,76,66,0.7601
6,flight_01_084727,3624,926,340,77,65,0.747
6,flight_01_084727,3625,918,337,77,65,0.7568
6,flight_01_084727,3626,917,334,77,65,0.7572
6,flight_01_084727,3627,906,328,76,66,0.7429
6,flight_01_084727,3628,908,326,76,66,0.7502
6,flight_01_084727,3629,899,321,76,66,0.7577
6,flight_01_084727,3630,901,318,76,66,0.7635
6,flight_01_084727,3631,897,315,76,66,0.767
6,flight_01_084727,3632,887,310,75,66,0.7547
6,flight_01_084727,3633,888,306,75,67,0.7614
6,flight_01_084727,3634,883,304,75,67,0.7649
6,flight_01_084727,3635,875,300,75,67,0.7686
6,flight_01_084727,3636,878,298,75,67,0.7677
6,flight_01_084727,3637,877,296,75,67,0.7727
6,flight_01_084727,3638,866,291,75,68,0.7582
6,flight_01_084727,3639,867,288,74,68,0.771
6,flight_01_084727,3640,862,287,74,69,0.7674
6,flight_01_084727,3641,859,284,74,69,0.7704
6,flight_01_084727,3642,859,282,74,69,0.7737
6,flight_01_084727,3643,850,278,74,69,0.7708
6,flight_01_084727,3644,842,275,74,70,0.7757
6,flight_01_084727,3645,848,272,73,70,0.761
6,flight_01_084727,3646,845,271,73,71,0.763
6,flight_01_084727,3647,836,267,73,71,0.7694
6,flight_01_084727,3648,840,264,72,72,0.7652
6,flight_01_084727,3649,829,262,72,72,0.7665
6,flight_01_084727,3650,832,257,71,73,0.7645
6,flight_01_084727,3651,822,254,71,73,0.7763
6,flight_01_084727,3652,826,250,71,74,0.7782
6,flight_01_084727,3653,816,247,71,74,0.7748
6,flight_01_084727,3654,821,246,70,75,0.7719
6,flight_01_084727,3655,811,243,70,76,0.7647
6,flight_01_084727,3656,814,240,70,76,0.7747
6,flight_01_084727,3657,814,240,69,77,0.7658
6,flight_01_084727,3658,803,236,69,78,0.7743
6,flight_01_084727,3659,792,229,70,78,0.7757
6,flight_01_084727,3660,799,225,69,79,0.7766
6,flight_01_084727,3661,788,222,69,80,0.7667
6,flight_01_084727,3662,792,217,69,81,0.7844
6,flight_01_084727,3663,781,215,69,82,0.7686
6,flight_01_084727,3664,786,210,68,83,0.7853
6,flight_01_084727,3665,788,210,68,83,0.7763
6,flight_01_084727,3666,786,211,68,84,0.7711
