frame_idx,x,y,w,h
3080,885,300,135,94
3081,885,300,135,94
3082,885,300,135,94
3083,885,300,135,94
3084,885,300,135,94
3085,885,300,135,94
3086,885,300,135,94
3087,885,300,135,94
3088,891,289,118,108
3089,891,289,118,108
3090,891,289,118,108
3091,891,289,118,108
3092,891,289,118,108
3093,891,289,118,108
3094,891,289,118,108
3095,891,289,118,108
3096,891,289,118,108
3097,891,289,118,108
3098,873,288,124,105
3099,873,288,124,105
3100,873,288,124,105
3101,873,288,124,105
3102,873,288,124,105
3103,873,288,124,105
3104,873,288,124,105
3105,873,288,124,105
3106,873,288,124,105
3107,873,288,124,105
3108,873,288,124,105
3109,856,274,132,111
3110,856,274,132,111
3111,856,274,132,111
3112,856,274,132,111
3113,856,274,132,111
3114,856,274,132,111
3115,856,274,132,111
3116,856,274,132,111
3117,856,274,132,111
3118,856,274,132,111
3119,856,274,132,111
3120,856,274,132,111
3121,856,274,132,111
3122,856,274,132,111
3123,856,274,132,111
3124,856,274,132,111
3125,856,274,132,111
3126,856,274,132,111
3127,843,280,124,85
3128,843,280,124,85
3129,843,280,124,85
3130,843,280,124,85
3131,843,280,124,85
3132,843,280,124,85
3133,843,280,124,85
3134,843,280,124,85
3135,826,274,141,82
3136,826,274,141,82
3137,826,274,141,82
3138,826,274,141,82
3139,826,274,141,82
3140,826,274,141,82
3141,826,274,141,82
3142,826,274,141,82
3143,826,274,141,82
3144,826,274,141,82
3145,813,258,142,97
3146,813,258,142,97
3147,813,258,142,97
3148,813,258,142,97
3149,813,258,142,97
3150,813,258,142,97
3151,813,258,142,97
3152,813,258,142,97
3153,813,258,142,97
3154,813,258,142,97
3155,813,258,142,97
3156,813,258,142,97
3157,813,258,142,97
3158,813,258,142,97
3159,813,258,142,97
3160,813,258,142,97
3161,813,258,142,97
3162,778,256,148,97
3163,778,256,148,97
3164,778,256,148,97
3165,778,256,148,97
3166,778,256,148,97
3167,778,256,148,97
3168,778,256,148,97
3169,778,256,148,97
3170,778,256,148,97
3171,778,256,148,97
3172,778,256,148,97
3173,778,256,148,97
3174,778,256,148,97
3175,778,256,148,97
3176,778,256,148,97
3177,778,256,148,97
3178,748,273,177,94
3179,748,273,177,94
3180,748,273,177,94
3181,748,273,177,94
3182,748,273,177,94
3183,748,273,177,94
3184,748,273,177,94
3185,748,273,177,94
3186,748,273,177,94
3187,748,273,177,94
3188,748,273,177,94
3189,748,273,177,94
3190,748,273,177,94
3191,748,273,177,94
3192,748,273,177,94
3193,748,273,177,94
3194,748,273,177,94
3195,748,273,177,94
3196,748,273,177,94
3197,748,273,177,94
3198,748,273,177,94
3199,748,273,177,94
3200,748,273,177,94
3201,748,273,177,94
3202,748,273,177,94
3203,748,273,177,94
3204,729,291,138,90
3205,729,291,138,90
3206,729,291,138,90
3207,729,291,138,90
3208,729,291,138,90
3209,729,291,138,90
3210,729,291,138,90
3211,729,291,138,90
3212,729,291,138,90
3213,729,291,138,90
3214,729,291,138,90
3215,729,291,138,90
3216,729,291,138,90
3217,729,291,138,90
3218,729,291,138,90
3219,729,291,138,90
3220,729,291,138,90
3221,729,291,138,90
3222,729,291,138,90
3223,729,291,138,90
3224,691,324,172,84
3225,691,324,172,84
3226,691,324,172,84
3227,691,324,172,84
3228,691,324,172,84
3229,691,324,172,84
3230,691,324,172,84
3231,691,324,172,84
3232,691,324,172,84
3233,691,324,172,84
3234,691,324,172,84
3235,691,324,172,84
3236,691,324,172,84
3237,691,324,172,84
3238,691,324,172,84
3239,691,324,172,84
3240,691,324,172,84
3241,691,324,172,84
3242,675,325,156,106
3243,675,325,156,106
3244,675,325,156,106
3245,675,325,156,106
3246,675,325,156,106
3247,675,325,156,106
3248,675,325,156,106
3249,675,325,156,106
3250,675,325,156,106
3251,675,325,156,106
3252,675,325,156,106
3253,661,340,156,105
3254,661,340,156,105
3255,661,340,156,105
3256,661,340,156,105
3257,661,340,156,105
3258,661,340,156,105
3259,661,340,156,105
3260,661,340,156,105
3261,661,340,156,105
3262,661,340,156,105
3263,661,340,156,105
3264,661,340,156,105
3265,661,340,156,105
3266,661,340,156,105
3267,661,340,156,105
3268,661,340,156,105
3269,661,340,156,105
3270,625,375,165,85
3271,625,375,165,85
3272,625,375,165,85
3273,625,375,165,85
3274,625,375,165,85
3275,625,375,165,85
3276,625,375,165,85
3277,625,375,165,85
3278,625,375,165,85
3279,625,375,165,85
3280,625,375,165,85
3281,625,375,165,85
3282,625,375,165,85
3283,625,375,165,85
3284,625,375,165,85
3285,603,384,172,81
3286,603,384,172,81
3287,603,384,172,81
3288,603,384,172,81
3289,603,384,172,81
3290,603,384,172,81
3291,603,384,172,81
3292,603,384,172,81
3293,601,382,156,96
3294,601,382,156,96
3295,601,382,156,96
3296,601,382,156,96
3297,601,382,156,96
3298,601,382,156,96
3299,601,382,156,96
3300,601,382,156,96
3301,601,382,156,96
3302,601,382,156,96
3303,601,382,156,96
3304,601,382,156,96
3305,564,388,171,103
3306,564,388,171,103
3307,564,388,171,103
3308,564,388,171,103
3309,564,388,171,103
3310,564,388,171,103
3311,564,388,171,103
3312,564,388,171,103
3313,541,406,186,97
3314,541,406,186,97
3315,541,406,186,97
3316,541,406,186,97
3317,541,406,186,97
3318,541,406,186,97
3319,541,406,186,97
3320,541,406,186,97
3321,541,406,186,97
3322,541,406,186,97
3323,541,406,186,97
3324,541,406,186,97
3325,541,406,186,97
3326,520,388,184,117
3327,520,388,184,117
3328,520,388,184,117
3329,520,388,184,117
3330,520,388,184,117
3331,520,388,184,117
3332,520,388,184,117
3333,520,388,184,117
3334,520,388,184,117
3335,520,388,184,117
3336,520,388,184,117
3337,520,388,184,117
3338,520,388,184,117
3339,520,388,184,117
3340,520,388,184,117
3341,520,388,184,117
3342,520,388,184,117
3343,520,388,184,117
3344,520,388,184,117
3345,520,388,184,117
3346,520,388,184,117
3347,520,388,184,117
3348,520,388,184,117
3349,520,388,184,117
3350,520,388,184,117
3351,520,388,184,117
3352,520,388,184,117
3353,520,388,184,117
3354,520,388,184,117
3355,520,388,184,117
3356,520,388,184,117
3357,520,388,184,117
3358,520,388,184,117
3359,520,388,184,117
3360,520,388,184,117
3361,520,388,184,117
3362,520,388,184,117
3363,520,388,184,117
3364,520,388,184,117
3365,520,388,184,117
3366,520,388,184,117
3367,520,388,184,117
3368,520,388,184,117
3369,520,388,184,117
3370,520,388,184,117
3371,520,388,184,117
3372,520,388,184,117
3373,520,388,184,117
3374,520,388,184,117
3375,520,388,184,117
3376,520,388,184,117
3377,520,388,184,117
3378,520,388,184,117
3379,520,388,184,117
3380,520,388,184,117
3381,520,388,184,117
3382,520,388,184,117
3383,520,388,184,117
3384,520,388,184,117
3385,520,388,184,117
3386,520,388,184,117
3387,520,388,184,117
3388,520,388,184,117
3389,520,388,184,117
3390,520,388,184,117
3391,520,388,184,117
3392,520,388,184,117
3393,520,388,184,117
3394,520,388,184,117
3395,520,388,184,117
3396,520,388,184,117
3397,520,388,184,117
3398,520,388,184,117
3399,520,388,184,117
3400,520,388,184,117
3401,520,388,184,117
3402,520,388,184,117
3403,520,388,184,117
3404,520,388,184,117
3405,520,388,184,117
3406,520,388,184,117
3407,520,388,184,117
3408,520,388,184,117
3409,520,388,184,117
3410,520,388,184,117
3411,520,388,184,117
3412,520,388,184,117
3413,520,388,184,117
3414,520,388,184,117
3415,520,388,184,117
3416,520,388,184,117
3417,520,388,184,117
3418,520,388,184,117
3419,520,388,184,117
3420,520,388,184,117
3421,520,388,184,117
3422,520,388,184,117
3423,520,388,184,117
3424,520,388,184,117
3425,520,388,184,117
3426,520,388,184,117
3427,520,388,184,117
3428,520,388,184,117
3429,520,388,184,117
3430,520,388,184,117
3431,520,388,184,117
3432,520,388,184,117
3433,520,388,184,117
3434,520,388,184,117
3435,520,388,184,117
3436,520,388,184,117
3437,528,370,186,127
3438,528,370,186,127
3439,528,370,186,127
3440,528,370,186,127
3441,528,370,186,127
3442,528,370,186,127
3443,528,370,186,127
3444,528,370,186,127
3445,528,370,186,127
3446,528,370,186,127
3447,528,370,186,127
3448,528,370,186,127
3449,528,370,186,127
3450,528,370,186,127
3451,528,370,186,127
3452,520,367,195,150
3453,520,367,195,150
3454,520,367,195,150
3455,520,367,195,150
3456,520,367,195,150
3457,520,367,195,150
3458,520,367,195,150
3459,520,367,195,150
3460,520,367,195,150
3461,520,367,195,150
3462,520,367,195,150
3463,520,367,195,150
3464,520,367,195,150
3465,520,367,195,150
3466,520,367,195,150
3467,541,393,174,132
3468,541,393,174,132
3469,541,393,174,132
3470,541,393,174,132
3471,541,393,174,132
3472,541,393,174,132
3473,541,393,174,132
3474,541,393,174,132
3475,541,393,174,132
3476,541,393,174,132
3477,541,393,174,132
3478,541,393,174,132
3479,541,393,174,132
3480,541,393,174,132
3481,541,393,174,132
3482,541,393,174,132
3483,541,393,174,132
3484,541,393,174,132
3485,541,393,174,132
3486,541,393,174,132
3487,558,412,183,141
3488,558,412,183,141
3489,558,412,183,141
3490,558,412,183,141
3491,558,412,183,141
3492,558,412,183,141
3493,558,412,183,141
3494,558,412,183,141
3495,558,412,183,141
3496,558,412,183,141
3497,558,412,183,141
3498,558,412,183,141
3499,558,412,183,141
3500,558,412,183,141
3501,558,412,183,141
3502,558,412,183,141
3503,558,412,183,141
3504,562,454,171,114
